9.050,15:2:56.00
11.441,15:2:58.40
12.066,15:2:59.00
12.691,15:2:59.60
13.275,15:3:0.20
13.849,15:3:0.80
14.482,15:3:1.40
15.067,15:3:2.00
15.651,15:3:2.60
16.277,15:3:3.20
17.643,15:3:3.80
18.272,15:3:5.20
18.848,15:3:5.80
19.477,15:3:6.40
20.641,15:3:7.60
21.278,15:3:8.20
21.865,15:3:8.80
22.444,15:3:9.40
23.081,15:3:10.00
25.880,15:3:12.80
26.473,15:3:13.40
27.052,15:3:14.00
27.692,15:3:14.60
28.268,15:3:15.20
28.889,15:3:15.80
30.267,15:3:16.40
30.910,15:3:17.80
8.724,15:3:19, 0.0029928, -0.0072382, 1.0001943, 0.0082510, -0.0164953, 1.0008780,-0.193521, 0.432666, -0.174632, -0.012474, 0.348683, -0.076282, -799.99390, 0.00610, -799.99390, 208,235, 42.7, 33.9, 28.0, 43.92, 0.00, 1000
31.121,15:3:19, 0.0027721, -0.0083537, 1.0029870, 0.0115686, -0.0177174, 0.9996228,-0.141930, 0.483659, -0.043951, -0.062539, 0.299965, 0.102650, 20.09888, 25.42725, 58.15430, 363,303, 42.7, 34.1, 28.0, 43.92, 0.00, 1000
31.130,15:3:19, 0.0039569, -0.0134940, 1.0010902, 0.0115464, -0.0204521, 0.9943592,-0.143662, 0.583318, -0.096031, 0.013899, 0.252356, 0.077210, 20.11719, 25.36011, 58.89282, 420,345, 42.7, 34.0, 28.1, 44.55, 0.00, 1000
31.141,15:3:19, 0.0037004, -0.0048910, 0.9992067, 0.0094602, -0.0157581, 0.9985279,-0.243422, 0.485440, -0.199848, -0.138056, 0.326739, -0.178787, 20.17822, 25.45776, 58.26416, 437,346, 42.7, 34.5, 28.2, 44.55, 0.00, 1000
31.149,15:3:19, 0.0043165, -0.0096099, 1.0015219, 0.0121717, -0.0213799, 1.0008225,-0.040274, 0.535673, -0.018563, -0.061123, 0.176922, 0.051452, 20.02563, 25.35400, 58.55103, 459,365, 42.7, 34.3, 28.0, 43.92, 0.00, 1000
31.160,15:3:19, 0.0029120, -0.0109878, 0.9939889, 0.0090467, -0.0177729, 0.9981130,-0.069270, 0.486199, -0.357339, 0.012461, 0.250603, -0.127509, 20.21484, 25.42725, 58.62427, 465,357, 42.7, 34.2, 28.2, 43.92, 0.00, 1000
31.169,15:3:19, 0.0028540, -0.0132192, 0.9991183, 0.0128171, -0.0149998, 0.9959129,-0.193756, 0.484749, -0.278073, 0.062522, 0.324082, -0.101868, 20.17212, 25.42114, 58.29468, 477,373, 42.7, 34.3, 28.1, 43.92, 0.00, 1000
31.179,15:3:19, 0.0005511, -0.0130663, 1.0033120, 0.0104617, -0.0180360, 0.9993610,-0.143340, 0.711144, 0.034292, -0.062986, 0.193693, -0.230625, 20.09277, 25.43335, 58.83179, 474,365, 42.7, 34.3, 27.9, 43.92, 0.00, 1000
31.188,15:3:19, 0.0063095, -0.0090346, 0.9977739, 0.0051802, -0.0172487, 0.9988464,-0.271310, 0.607505, -0.173680, 0.163541, 0.335699, 0.103517, 20.17212, 25.54932, 58.28857, 482,378, 42.7, 33.9, 28.5, 43.92, 0.00, 1000
31.197,15:3:19, 0.0020926, -0.0060356, 0.9962542, 0.0127606, -0.0147837, 0.9988377,-0.193133, 0.561006, -0.173986, 0.012602, 0.417810, -0.127857, 20.14771, 25.21362, 58.84399, 485,384, 42.7, 34.4, 27.7, 43.92, 0.00, 1000
31.208,15:3:19, 0.0035488, -0.0141772, 0.9996577, 0.0127606, -0.0147837, 0.9988377,-0.066265, 0.459211, -0.149688, 0.012602, 0.417810, -0.127857, 20.17822, 25.56763, 58.28247, 482,375, 42.7, 34.0, 27.7, 43.92, 0.00, 1000
31.215,15:3:19, 0.0037918, -0.0133265, 0.9981299, 0.0127495, -0.0149334, 0.9935674,-0.018053, 0.583524, -0.331759, 0.012129, 0.273340, -0.153294, 20.26978, 25.15869, 58.47168, 485,385, 42.7, 33.7, 27.9, 43.92, 0.00, 1000
31.226,15:3:19, 0.0027532, -0.0105922, 0.9985236, 0.0114088, -0.0180619, 0.9983154,-0.294991, 0.608939, -0.094820, 0.113977, 0.273739, -0.025034, 20.20264, 25.28687, 58.43506, 438,363, 42.7, 34.2, 27.9, 44.55, 0.00, 1000
31.235,15:3:19, 0.0010709, -0.0110960, 1.0029123, 0.0134325, -0.0185337, 0.9981728,-0.194733, 0.635812, -0.173328, -0.062565, 0.375350, -0.050579, 20.05005, 25.23193, 58.44116, 456,372, 42.7, 34.4, 28.1, 43.92, 0.00, 1000
31.246,15:3:19, 0.0025992, -0.0101127, 1.0015854, 0.0132345, -0.0168812, 0.9975700,-0.221180, 0.708730, -0.147647, -0.013256, 0.276825, -0.358447, 20.26978, 25.38452, 58.63037, 455,363, 42.7, 34.0, 28.3, 43.92, 0.00, 1000
31.254,15:3:19, 0.0029071, -0.0099928, 1.0012763, 0.0111247, -0.0154141, 0.9958728,-0.091268, 0.510313, -0.123013, 0.012767, 0.299055, -0.076255, 20.17212, 25.36011, 58.37402, 465,371, 42.7, 34.2, 27.8, 43.92, 0.00, 1000
31.263,15:3:19, 0.0032155, -0.0081837, 1.0002085, 0.0069553, -0.0198242, 1.0009104,-0.194928, 0.660530, -0.251223, 0.010505, 0.267461, -0.384557, 20.27588, 25.31738, 58.72803, 472,379, 42.7, 34.2, 27.8, 43.92, 0.00, 1000
31.274,15:3:19, 0.0050582, -0.0098104, 0.9988591, 0.0089650, -0.0192536, 0.9941732,-0.069927, 0.610230, -0.330379, -0.037071, 0.294912, -0.076545, 20.24536, 25.54321, 58.23364, 471,368, 42.7, 34.0, 27.9, 43.92, 0.00, 1000
31.283,15:3:19, 0.0025867, -0.0142102, 1.0027289, 0.0087445, -0.0144562, 0.9996883,-0.068689, 0.736228, -0.071288, 0.038261, 0.149739, -0.076232, 20.19653, 25.64087, 58.64868, 474,373, 42.7, 34.2, 28.2, 43.92, 0.00, 1000
31.294,15:3:19, 0.0042859, -0.0057116, 0.9965801, 0.0047330, -0.0164188, 0.9980068,-0.118053, 0.608731, -0.095723, -0.062316, 0.246542, -0.102132, 20.18433, 25.28687, 58.44727, 468,360, 42.7, 34.0, 28.2, 43.92, 0.00, 1000
31.303,15:3:19, 0.0009411, -0.0137948, 1.0018952, 0.0116378, -0.0188969, 0.9984049,-0.117277, 0.512329, -0.304137, -0.063653, 0.373806, -0.127508, 20.11108, 25.34180, 58.47168, 474,372, 42.7, 34.5, 28.2, 43.92, 0.00, 1000
31.313,15:3:19, -0.0005683, -0.0083977, 0.9955879, 0.0128688, -0.0226813, 0.9979894,-0.142779, 0.534446, -0.018815, -0.112045, 0.401010, 0.025818, 20.23926, 25.12207, 58.74634, 470,364, 42.7, 34.3, 28.2, 43.92, 0.00, 1000
31.322,15:3:19, 0.0022078, -0.0156820, 1.0006053, 0.0159195, -0.0062269, 0.9993964,-0.065712, 0.610495, 0.007581, 0.059284, 0.399508, -0.178471, 20.13550, 25.32959, 58.39844, 478,381, 42.7, 34.3, 28.3, 43.92, 0.00, 1000
31.331,15:3:19, 0.0048318, -0.0079344, 0.9972268, 0.0159195, -0.0062269, 0.9993964,-0.118864, 0.608835, -0.200331, 0.059284, 0.399508, -0.178471, 20.17822, 25.28687, 58.47778, 487,395, 42.7, 33.9, 28.3, 43.92, 0.00, 1000
31.341,15:3:19, 0.0040710, -0.0143606, 0.9958886, 0.0113016, -0.0215148, 0.9974040,-0.143118, 0.508817, -0.174982, 0.013031, 0.299297, -0.050585, 20.31250, 25.53101, 58.50830, 471,360, 42.7, 34.2, 27.8, 43.92, 0.00, 1000
